post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47640728,Show HN: A game where you build a GPU,technology,740,157,Jaso1024,2026-04-05,0.21187584345479082,True
47645432,Introduction to Computer Music (2009) [pdf],technology,154,50,luu,2026-04-05,0.3225806451612903,True
47640875,"LLM Wiki – example of an ""idea file""",technology,188,56,tamnd,2026-04-05,0.2962962962962963,True
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,43,6,steeve,2026-04-05,0.13636363636363635,False
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,158,78,jrandolf,2026-04-05,0.49056603773584906,True
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,429,192,naves,2026-04-05,0.44651162790697674,True
47637757,Embarrassingly simple self-distillation improves code generation,technology,592,178,Anon84,2026-04-05,0.30016863406408095,True
47606244,Training mRNA Language Models Across 25 Species for $165,technology,138,32,maziyar,2026-04-05,0.2302158273381295,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1048,795,firloop,2026-04-05,0.7578646329837941,True
47645468,Writing Lisp is AI resistant and I'm sad,technology,66,66,djha-skin,2026-04-05,0.9850746268656716,False
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,48,11,ingenika,2026-04-05,0.22448979591836735,False
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,394,245,eichin,2026-04-05,0.620253164556962,True
47616157,Software never had a soul,technology,17,14,firloop,2026-04-05,0.7777777777777778,False
47647038,An AI bot invited me to its party in Manchester. It was a pretty good night,technology,7,0,mellosouls,2026-04-05,0.0,False
47621792,Post Mortem: axios NPM supply chain compromise,technology,278,131,JeanMeche,2026-04-05,0.46953405017921146,True
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,167,144,lschueller,2026-04-05,0.8571428571428571,True
47624645,Show HN: Apfel – The free AI already on your Mac,technology,717,146,franze,2026-04-05,0.20334261838440112,True
47633131,"Run Linux containers on Android, no root required",technology,212,82,politelemon,2026-04-05,0.38497652582159625,True
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,394,147,denssumesh,2026-04-05,0.3721518987341772,True
47645976,AI that copied musical artist files copyright claim against artist [updated],technology,57,14,josephcsible,2026-04-05,0.2413793103448276,False
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",technology,16,12,bring-shrubbery,2026-04-05,0.7058823529411765,False
47622616,The Technocracy Movement of the 1930s,technology,166,135,lazydogbrownfox,2026-04-05,0.8083832335329342,True
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,23,8,1659447091,2026-04-05,0.3333333333333333,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,586,207,pretext,2026-04-05,0.3526405451448041,True
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,worldnews,150,45,jackson-mcd,2026-04-05,0.2980132450331126,False
47645696,Towards end-to-end automation of AI research,worldnews,6,0,hardmaru,2026-04-05,0.0,False
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,46,11,cmitsakis,2026-04-05,0.23404255319148937,False
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,44,24,tosh,2026-04-05,0.5333333333333333,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,295,147,Growtika,2026-04-05,0.4966216216216216,True
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-05,0.07518796992481203,False
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,36,6,j0rg3,2026-04-05,0.16216216216216217,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05,0.753731343283582,False
47633734,ENiGMA½ BBS Software,worldnews,10,1,NuSkooler,2026-04-05,0.09090909090909091,False
